data,queijo,leite,doce_leite,ovos,suinos,hortalicas
ago-2021,0,36,0,0,2,0
set-2021,61,138,18,0,4,0
out-2021,74,122,28,0,3,0
nov-2021,66,213,3,0,4,0
dez-2021,41,84,5,0,4,0
jan-2022,56,65,7,4,0,0
fev-2022,46,60,1,13,0,0
mar-2022,58,726,0,50,18,26
abr-2022,51,120,0,21,0,9
mai-2022,89,993,26,38,3,214
jun-2022,118,940,25,36,0,66
jul-2022,60,773,9,15,1,60
ago-2022,62,579,5,35,1,7
set-2022,18,251,2,9,10,34
out-2022,68,1110,16,21,16,0
nov-2022,84,841,1,10,11,6
dez-2022,64,587,9,23,12,151
jan-2023,16,966,5,0,1,0
fev-2023,43,742,5,0,0,5
mar-2023,36,644,0,0,2,0
abr-2023,23,806,0,0,5,0
mai-2023,0,495,0,0,14,84
jun-2023,33,750,29,20,4,49
jul-2023,60,775,9,15,0,52
ago-2023,20,558,12,35,0,65
set-2023,40,657,10,23,7,32
out-2023,71,977,22,27,12,14
nov-2023,77,754,15,15,7,26
dez-2023,33,734,10,11,5,35
